movie	Star Wars: Episode II - Attack of the Clones	2002
director	Lucas, George	Star Wars: Episode II - Attack of the Clones	2002
actor	Gee, David	The Amityville Horror	2005	ER Doctor
actor	Hall, Philip Baker	The Amityville Horror	2005	Father Callaway
actor	James, Jesse	The Amityville Horror	2005	Billy Lutz
actor	Komenich, Rich	The Amityville Horror	2005	Chief of Police
actor	Bennett, Jimmy	The Amityville Horror	2005	Michael Lutz
actor	Donaldson, Brendan	The Amityville Horror	2005	Ronald Defeo
movie	The Avengers	2012
director	Whedon, Joss	The Avengers	2012
actress	Paltrow, Gwyneth	The Avengers	2012	Pepper Potts
actress	Swoboda, Robin	The Avengers	2012	News Reporter
actress	Toker, Fernanda	The Avengers	2012	Office Woman
actress	Vecchio, Andrea	The Avengers	2012	News Reporter
actress	Robins, Kelley	The Avengers	2012	Celebration Montage Interviewee
actress	Rosemont, Romy	The Avengers	2012	Shawna Lynde
actress	Rustagi, Rashmi	The Avengers	2012	Calcutta Woman
actress	Singh, M'laah Kaur	The Avengers	2012	Young Girl
actress	Sixtos, Alicia	The Avengers	2012	Carrier BridgeTechs
actress	Smulders, Cobie	The Avengers	2012	Agent Maria Hill
actress	Johansson, Scarlett	The Avengers	2012	Natasha Romanoff/Black Widow
actress	Johnson, Ashley	The Avengers	2012	Waitress
actress	Komatsu, Katsumi	The Avengers	2012	Japanese Family
actress	Komatsu, Momoko	The Avengers	2012	Japanese Family
actress	Komatsu, Yumiko	The Avengers	2012	Japanese Family
actress	Agutter, Jenny	The Avengers	2012	World Security Council
actress	Benko, Tina	The Avengers	2012	NASA Scientist
actor	Lee, Stan	The Avengers	2012	Stan Lee
actor	Li, Donald	The Avengers	2012	World Security Council
actor	McGee, Brent	The Avengers	2012	Faceless Pilot
actor	McShane, Jamie	The Avengers	2012	Celebration Montage Interviewee
actor	Nikiforov, Kirill	The Avengers	2012	Weaselly Thug
actor	Perez, Walter	The Avengers	2012	Young Shield Pilot
actor	Poitier, Damion	The Avengers	2012	Man #1
actor	Tigar, Kenneth	The Avengers	2012	German Old Man
actor	Wolfe, Jeff	The Avengers	2012	Tall Thug
actor	Zhang, Michael	The Avengers	2012	Celebration Montage Interviewee
actor	Renner, Jeremy	The Avengers	2012	Clint Barton/Hawkeye
actor	Riesle, Dieter	The Avengers	2012	Gala Scientist
actor	Roberts, Thomas	The Avengers	2012	Thomas Roberts
actor	Ruffalo, Mark	The Avengers	2012	Bruce Banner/The Hulk
actor	Skarsg�rd, Stellan	The Avengers	2012	Selvig
actor	Skolimowski, Jerzy	The Avengers	2012	Georgi Luchkov
actor	Stanton, Harry Dean	The Avengers	2012	Security Guard
actor	Stephens, William Christopher	The Avengers	2012	Celebration Montage Interviewee
actor	Eckhouse, James	The Avengers	2012	Senator Boynton
actor	Evans, Chris	The Avengers	2012	Steve Rogers/Captain America
actor	Garcia, Jesse	The Avengers	2012	Carrier BridgeTechs
actor	Gjokaj, Enver	The Avengers	2012	Young Cop
actor	Gregg, Clark	The Avengers	2012	Agent Phil Coulson
actor	Hemsworth, Chris	The Avengers	2012	Thor
actor	Hern�ndez, Maximiliano	The Avengers	2012	Agent Jasper Sitwell
actor	Hiddleston, Tom	The Avengers	2012	Loki
actor	Jackson, Samuel L.	The Avengers	2012	Nick Fury
actor	Kiernan, Pat	The Avengers	2012	Pat Kiernan
actor	Bettany, Paul	The Avengers	2012	Jarvis
actor	Kole, Warren	The Avengers	2012	Carrier BridgeTechs
actor	Boothe, Powers	The Avengers	2012	World Security Council
actor	Clohessy, Robert	The Avengers	2012	Police Sergeant
actor	Cowdery, Josh	The Avengers	2012	Maintenance Guy
actor	Darbinyan, Arthur	The Avengers	2012	World Security Council
actor	Denisof, Alexis	The Avengers	2012	The Other
actor	Downey Jr., Robert	The Avengers	2012	Tony Stark/Iron Man
movie	The Big Short	2015
director	McKay, Adam	The Big Short	2015
actress	Oduye, Adepero	The Big Short	2015	Kathy Tao
actress	Park, Jae Suh	The Big Short	2015	Michael Burry's Wife
actress	Rappold, Shauna	The Big Short	2015	Michael Burry's Mom
actress	Landry, Sharon	The Big Short	2015	Woman at Casino
actress	Lazar, Carrie	The Big Short	2015	Mark Baum's Mom
actress	Lee, Sophie	The Big Short	2015	Woman in Glasses
actress	Leo, Melissa	The Big Short	2015	Georgia Hale
actress	Lind, Kelly	The Big Short	2015	Front Point Receptionist
actress	Tomei, Marisa	The Big Short	2015	Cynthia Baum
actress	Wholey, Robyn	The Big Short	2015	Spin Class Instructor
actress	Steed, Ingrid	The Big Short	2015	Lawrence Fields' Assistant
actress	Frangos, Maria	The Big Short	2015	Exotic Dancer
actress	Gillan, Karen	The Big Short	2015	Evie
actress	Grice, Lara	The Big Short	2015	Deutsche Auditorium Host
actress	Kimball, Lyndsay	The Big Short	2015	Diner Waitress
actress	Blumberg, Kate	The Big Short	2015	Real Estate Agent
actress	Boyd, Heighlen	The Big Short	2015	Florida Strip Club Dancer
actress	Castay, Leslie	The Big Short	2015	Therapist
actress	Cloke, Vanessa	The Big Short	2015	Goldman Sachs Sales Rep (Lucy)
actress	Divine, Colette	The Big Short	2015	B of A Lobby Security
actor	Kunkle, Tyler	The Big Short	2015	Doug from Goldman Sachs
actor	Lawless, Colin	The Big Short	2015	Nicolas Burry
actor	Letts, Tracy	The Big Short	2015	Lawrence Fields
actor	Linklater, Hamish	The Big Short	2015	Porter Collins
actor	Magaro, John	The Big Short	2015	Charlie Geller
actor	Magnussen, Billy	The Big Short	2015	Mortgage Broker
actor	Mann, Byron	The Big Short	2015	Mr. Chau
actor	Marble, Anthony	The Big Short	2015	Therapy Businessman
actor	Millard, Jack	The Big Short	2015	Lehman Executive
actor	Miscally, Cayden Arthur	The Big Short	2015	Tattooed Man's Son
actor	Muallem, Ilan	The Big Short	2015	Noah
actor	Neisler, John	The Big Short	2015	Seminar Leader
actor	Pitt, Brad	The Big Short	2015	Ben Rickert
actor	Potter, Jay	The Big Short	2015	Deutsche Sales Rep
actor	P�re, Wayne	The Big Short	2015	Martin Blaine
actor	Strong, Jeremy	The Big Short	2015	Vinny Daniel
actor	Talbert, Charlie	The Big Short	2015	Lewis Bond Trader
actor	Thaler, Richard	The Big Short	2015	Richard Thaler
actor	Varino, Michael Joseph	The Big Short	2015	35 to 1 Guy
actor	Wilson, Tim	The Big Short	2015	Lehman Employee
actor	Wittrock, Finn	The Big Short	2015	Jamie Shipley
actor	Wong, Stanley	The Big Short	2015	Ted Jiang
actor	Wyman, David	The Big Short	2015	Pub Goer
actor	Yeargain, James	The Big Short	2015	Fields' Lawyer
actor	Zalkind, David	The Big Short	2015	Rabbi
actor	Eisenzopf, Rudy	The Big Short	2015	Lewis Ranieri
actor	Epstein, Peter	The Big Short	2015	Paul Baum
actor	Farrier, Andrew	The Big Short	2015	Burry's Analyst
actor	Flowers, Aiden	The Big Short	2015	Young Michael Burry
actor	Gale, Oscar	The Big Short	2015	Tattooed Renter
actor	Gervais, Harold	The Big Short	2015	Lewis Bond Trader
actor	Santos, Michael Aaron	The Big Short	2015	Businessman at Casino
actor	Sapienza, Al	The Big Short	2015	Option One CEO
actor	Gosling, Ryan	The Big Short	2015	Jared Vennett
actor	Greenfield, Max	The Big Short	2015	Mortgage Broker
actor	Grey, Elliott	The Big Short	2015	Montage Lehman Rep
actor	Griffin, Jeffry	The Big Short	2015	Jared's Assistant (Chris)
actor	Groves, Casey	The Big Short	2015	Fund Manager
actor	Slaughter, Billy	The Big Short	2015	Real Estate Agent
actor	Spall, Rafe	The Big Short	2015	Danny Moses
actor	Stacy, Brandon	The Big Short	2015	Michael Burry's Dad
actor	Stein, Michael J.	The Big Short	2015	Banker 1979
actor	Hines, Garrett	The Big Short	2015	Deutsche Sales Rep
actor	Hocke, Bernard	The Big Short	2015	Coach
actor	Anderson, Peter	The Big Short	2015	Pub Goer
actor	Jablonski, Jay	The Big Short	2015	Rich Bear Rep (Matt)
actor	Jacob, Rajeev	The Big Short	2015	Goldman Sachs Quant (Deeb)
actor	Bale, Christian	The Big Short	2015	Michael Burry
actor	Kallaway, David	The Big Short	2015	Guy in Game Jersey
actor	Bates, Mychael	The Big Short	2015	Man Stealing Cab
actor	Bayle, Jason	The Big Short	2015	Montage Goldman Sachs Rep
actor	Kern III, Blaine	The Big Short	2015	Second Bear Rep
actor	Bentley, Tony	The Big Short	2015	Bruce Miller
actor	Kives, Michael	The Big Short	2015	Banker in Deutsche Auditorium
actor	Bourdain, Anthony	The Big Short	2015	Anthony Bourdain
actor	Brocato, Lyle	The Big Short	2015	Casey
actor	Brooks, Joseph	The Big Short	2015	Banker at Goldman Sachs
actor	Brooks, Michael	The Big Short	2015	Angry Guy on the Phone
actor	Broussard, Ryan	The Big Short	2015	Trader at Night Club
actor	Brown, Marcus Lyle	The Big Short	2015	Merrill Lynch Rep
actor	Burke, Hunter	The Big Short	2015	Analyst
actor	Carell, Steve	The Big Short	2015	Mark Baum
actor	Cooper, Silas	The Big Short	2015	Therapy Businessman
actor	Crawford, Logan	The Big Short	2015	News Reporter
actor	Davis, Dave	The Big Short	2015	Burry's Assistant
actor	Diggs, Joel	The Big Short	2015	Cab Driver
movie	The Bone Collector	1999
director	Noyce, Phillip	The Bone Collector	1999
actress	Queen Latifah	The Bone Collector	1999	Thelma
actress	Macwilliam, Keenan	The Bone Collector	1999	Rhyme's Niece
actress	Gay, Amanda	The Bone Collector	1999	Girl in Nightclub
actress	Grey, Zena	The Bone Collector	1999	Granddaughter
actress	G�mez, Mercedes	The Bone Collector	1999	Ortiz's Mother
actress	Hammett, Mary	The Bone Collector	1999	Girlfriend in Nightclub
actress	Jolie, Angelina	The Bone Collector	1999	Amelia Donaghy
actress	Biddle, Sonya	The Bone Collector	1999	Nurse
actress	Birkelund, Olivia	The Bone Collector	1999	Lindsay Rubin
actress	Daviault, Yahsmin	The Bone Collector	1999	Rhyme's Sister
actor	Lawrence, Burke	The Bone Collector	1999	Police Instructor
actor	McGlone, Michael	The Bone Collector	1999	Detective Kenny Solomon
actor	O'Neill, Ed	The Bone Collector	1999	Detective Paulie Sellitto
actor	Orser, Leland	The Bone Collector	1999	Richard Thompson
actor	Swanson, Gary	The Bone Collector	1999	Alan Rubin
actor	Veliz, Christian	The Bone Collector	1999	Chris, Young Boy
actor	Warshofsky, David	The Bone Collector	1999	Amelia's Partner
actor	Washington, Denzel	The Bone Collector	1999	Lincoln Rhyme
actor	Whittall, Ted	The Bone Collector	1999	Ortiz's Assistant
actor	Yuen, Russell	The Bone Collector	1999	Forensics Worker
actor	Zeman, Richard	The Bone Collector	1999	Lieutenant Carl Hanson
actor	Rooker, Michael	The Bone Collector	1999	Captain Howard Cheney
actor	Sherman, Hal	The Bone Collector	1999	Fingerprint Cop
actor	Simpson, Terry	The Bone Collector	1999	Cop in Apartment
actor	Stark, Jonathan	The Bone Collector	1999	Male Detective
actor	Fontaine, Frank	The Bone Collector	1999	Grandfather
actor	Guzm�n, Luis	The Bone Collector	1999	Eddie Ortiz
actor	G�mez, Mateo	The Bone Collector	1999	Hot Dog Vendor
actor	Hickey, John Benjamin	The Bone Collector	1999	Dr. Barry Lehman
actor	Adams, Steve	The Bone Collector	1999	Gas Worker
actor	Holden, Arthur	The Bone Collector	1999	Bookstore Clerk
actor	Bisson, Jean-Marc	The Bone Collector	1999	Rescue Worker
actor	Bradshaw, Andy	The Bone Collector	1999	Uniform Cop
actor	Bregman, Christopher	The Bone Collector	1999	Rescue Worker
actor	Brochu, Daniel	The Bone Collector	1999	N.Y.U. Student
actor	Bulleit, James	The Bone Collector	1999	Train Engineer
actor	Campbell, Desmond	The Bone Collector	1999	Taxi Inspector
actor	Cannavale, Bobby	The Bone Collector	1999	Amelia's Boyfriend
actor	Cecere, Fulvio	The Bone Collector	1999	Forensics Expert
actor	Davis, Eric	The Bone Collector	1999	Cop in Apartment
actor	Day, Larry	The Bone Collector	1999	Gas Worker
actor	Dillon, Peter Michael	The Bone Collector	1999	Homicide Detective
movie	The Bonfire of the Vanities	1990
director	De Palma, Brian	The Bonfire of the Vanities	1990
actress	Mitzman Gaven, Marcia	The Bonfire of the Vanities	1990	Bondsman
actress	Monaghan, Marjorie	The Bonfire of the Vanities	1990	Evelyn Moore
actress	Moore, Lorraine	The Bonfire of the Vanities	1990	Gospel Singer
actress	Morris, Virginia	The Bonfire of the Vanities	1990	Weiss' Aide
actress	Nelson, Novella	The Bonfire of the Vanities	1990	Media Jackal
actress	Owens, Elizabeth	The Bonfire of the Vanities	1990	Inez Bavardage
actress	Dunst, Kirsten	The Bonfire of the Vanities	1990	Campbell McCoy
actress	Forristal, Susan	The Bonfire of the Vanities	1990	Well Wisher
actress	Francis, Stacy	The Bonfire of the Vanities	1990	Gospel Singer
actress	Gooding, Barbara	The Bonfire of the Vanities	1990	Gospel Singer
actress	Green, Fanni	The Bonfire of the Vanities	1990	Prostitute
actress	Griffith, Melanie	The Bonfire of the Vanities	1990	Maria Ruskin
actress	Jackson, Ernestine	The Bonfire of the Vanities	1990	Media Jackal
actress	Aarn, Kimberleigh	The Bonfire of the Vanities	1990	Media Jackal
actress	Alice, Mary	The Bonfire of the Vanities	1990	Annie Lamb
actress	Bassey, Jennifer	The Bonfire of the Vanities	1990	Diplomat's Wife
actress	Bloch, Scotty	The Bonfire of the Vanities	1990	Sally Rawthrote
actress	Braque, Katrina	The Bonfire of the Vanities	1990	Diplomat's Daughter
actress	Broderick, Beth	The Bonfire of the Vanities	1990	Caroline Heftshank
actress	Burke, Judith	The Bonfire of the Vanities	1990	French Restaurant Patron
actress	Byrde, Eyde	The Bonfire of the Vanities	1990	Poe Picketer
actress	Cattrall, Kim	The Bonfire of the Vanities	1990	Judy McCoy
actress	Chambers, Marie	The Bonfire of the Vanities	1990	Weiss' Aide
actress	Chase, Channing	The Bonfire of the Vanities	1990	Shocked Woman
actress	Claussen, Joy	The Bonfire of the Vanities	1990	French Restaurant Patron
actress	Danielle, Kathryn	The Bonfire of the Vanities	1990	P.R. Assistant
actress	Wilson, Rita	The Bonfire of the Vanities	1990	P.R. Woman
actress	Winston, Adina	The Bonfire of the Vanities	1990	Female Guest
actress	Sawyer, Connie	The Bonfire of the Vanities	1990	Ruskin Family Member
actress	Sorbo, Sam	The Bonfire of the Vanities	1990	Fox's Assistant
actress	Stenborg, Helen	The Bonfire of the Vanities	1990	Mrs. McCoy
actress	Leggett, Doris	The Bonfire of the Vanities	1990	Gospel Singer
actress	Manheim, Camryn	The Bonfire of the Vanities	1990	Poe Picketer
actress	Mason, Cynthia	The Bonfire of the Vanities	1990	Maid
actress	McDonald, Nancy	The Bonfire of the Vanities	1990	Media Jackal
actress	Palmer, Kathleen Murphy	The Bonfire of the Vanities	1990	Gospel Singer
actress	Paysinger, Sherri	The Bonfire of the Vanities	1990	Anchorwoman
actor	Lally, James	The Bonfire of the Vanities	1990	Bondsman
actor	Lebherz, Louis P.	The Bonfire of the Vanities	1990	The Commandatori
actor	LeFevre, Adam	The Bonfire of the Vanities	1990	Rawlie Thorpe
actor	Dunn, Kevin	The Bonfire of the Vanities	1990	Tom Killian
actor	Lester, Noble Lee	The Bonfire of the Vanities	1990	Media Jackal
actor	Levitin, Nicholas	The Bonfire of the Vanities	1990	Media Jackal
actor	Libertini, Richard	The Bonfire of the Vanities	1990	Ed Rifkin
actor	Lipman, David	The Bonfire of the Vanities	1990	Poe Picketer
actor	England, Hal	The Bonfire of the Vanities	1990	French Restaurant Patron
actor	Mahmud-Bey, Shiek	The Bonfire of the Vanities	1990	Lockwood
actor	Fink, John	The Bonfire of the Vanities	1990	French Restaurant Patron
actor	Malone, Patrick	The Bonfire of the Vanities	1990	Henry Lamb
actor	Flanagan, Walter	The Bonfire of the Vanities	1990	Media Jackal
actor	Freeman, Morgan	The Bonfire of the Vanities	1990	Judge Leonard White
actor	Fuller, Kurt	The Bonfire of the Vanities	1990	Pollard Browning
actor	McCourt, Malachy	The Bonfire of the Vanities	1990	Tony - Doorman
actor	McKay, Brennan	The Bonfire of the Vanities	1990	Bondsman
actor	McManus, Don	The Bonfire of the Vanities	1990	Bondsman
actor	Giambalvo, Louis	The Bonfire of the Vanities	1990	Ray Andruitti
actor	Gilbert-Hill, Richard	The Bonfire of the Vanities	1990	Weiss' Aide
actor	Merritt, George	The Bonfire of the Vanities	1990	Poe Picketer
actor	Michlin, Barry	The Bonfire of the Vanities	1990	Funeral Director
actor	Gregory, Andre	The Bonfire of the Vanities	1990	Aubrey Buffing
actor	Moffat, Donald	The Bonfire of the Vanities	1990	Mr. McCoy
actor	Hagen, Daniel	The Bonfire of the Vanities	1990	Media Jackal
actor	Hancock, John	The Bonfire of the Vanities	1990	Reverend Bacon
actor	Neikrug, Barry	The Bonfire of the Vanities	1990	Weiss' Aide
actor	Hanks, Tom	The Bonfire of the Vanities	1990	Sherman McCoy
actor	Heyman, Barton	The Bonfire of the Vanities	1990	Det. Martin
actor	Hodge, Mike	The Bonfire of the Vanities	1990	Media Jackal
actor	Parker, Norman	The Bonfire of the Vanities	1990	Det. Goldberg
actor	Hunt, W.M.	The Bonfire of the Vanities	1990	Nunnally Voyd
actor	Iannicelli, Ray	The Bonfire of the Vanities	1990	Media Jackal
actor	Plimpton, George	The Bonfire of the Vanities	1990	Well Wisher
actor	James, Clifton	The Bonfire of the Vanities	1990	Albert Fox
actor	Jenkins, Timothy	The Bonfire of the Vanities	1990	Billy Cortez
actor	Joyce, Walker	The Bonfire of the Vanities	1990	Bobby Shalfet/'Don Giovanni'
actor	Kamal, Jon Rashad	The Bonfire of the Vanities	1990	French Waiter
actor	Taylor, Kirk	The Bonfire of the Vanities	1990	Aide
actor	King, Alan	The Bonfire of the Vanities	1990	Arthur Ruskin
actor	Vasquez, Nelson	The Bonfire of the Vanities	1990	Pimp
actor	Bates, Paul	The Bonfire of the Vanities	1990	Buck
actor	Williamson, Ermal	The Bonfire of the Vanities	1990	Butler
actor	Willis, Bruce	The Bonfire of the Vanities	1990	Peter Fallow
actor	Belzer, Richard	The Bonfire of the Vanities	1990	Television Producer
actor	Winbush, Troy	The Bonfire of the Vanities	1990	Roland Auburn
actor	Bentley, John	The Bonfire of the Vanities	1990	Bill - Doorman
actor	Woodson, William	The Bonfire of the Vanities	1990	Gene Lopwitz
actor	Wyatt, J.D.	The Bonfire of the Vanities	1990	Poe Picketer
actor	Xuereb, Emmanuel	The Bonfire of the Vanities	1990	Filippo Chirazzi
actor	Zully, Stewart J.	The Bonfire of the Vanities	1990	Court Clerk
actor	Brooks, Jeff	The Bonfire of the Vanities	1990	Bondsman
actor	Rowe, Hansford	The Bonfire of the Vanities	1990	Leon Bavardage
actor	Rubinek, Saul	The Bonfire of the Vanities	1990	Jed Kramer
actor	Scandiuzzi, Gian-Carlo	The Bonfire of the Vanities	1990	Maitre D'
actor	Clark, O. LaRon	The Bonfire of the Vanities	1990	Cecil Hayden
actor	Clark, William	The Bonfire of the Vanities	1990	Eddie - Doorman
actor	Crear, Johnny	The Bonfire of the Vanities	1990	Manny Leerman
actor	D'Ambrosio, Vito	The Bonfire of the Vanities	1990	Intercom Man
actor	Stephens, Robert	The Bonfire of the Vanities	1990	Sir Gerald Moore
actor	Davis, Roy Milton	The Bonfire of the Vanities	1990	Latino
actor	Davydov, Anatoli	The Bonfire of the Vanities	1990	Boris Karlevskov
actor	Dixon, Oliver	The Bonfire of the Vanities	1990	Diplomat
movie	The Bucket List	2007
director	Reiner, Rob	The Bucket List	2007
actress	Novak, Nikki	The Bucket List	2007	Attractive Woman #2
actress	Lewis, Dawn	The Bucket List	2007	Flight Attendant
actress	Maruyama, Karen	The Bucket List	2007	Nurse Shing
actress	Mead, Amber	The Bucket List	2007	Attractive Woman #1
actress	Thompson, Taylor Ann	The Bucket List	2007	Edward's Granddaughter
actress	Todd, Beverly	The Bucket List	2007	Virginia
actress	Reeder, Serena	The Bucket List	2007	Rachel
actress	Gardner, Angela	The Bucket List	2007	Female Administrator
actress	Johnson, Andrea	The Bucket List	2007	Elizabeth
actress	King, Rowena	The Bucket List	2007	Angelica
actress	Bridges, Verda	The Bucket List	2007	Chandra
actress	Brownridge, Destiny	The Bucket List	2007	Maya
actress	Defrancisco, Jennifer	The Bucket List	2007	Emily
actor	Lund, Jordan	The Bucket List	2007	Tattoo Artist
actor	Freeman, Alfonso	The Bucket List	2007	Roger
actor	Mangum, Jonathan	The Bucket List	2007	Richard
actor	Freeman, Morgan	The Bucket List	2007	Carter
actor	McGonagle, Richard	The Bucket List	2007	Board Chairman
actor	Gugliemi, Noel	The Bucket List	2007	Mechanic
actor	Morrow, Rob	The Bucket List	2007	Dr. Hollins
actor	Hayes, Sean	The Bucket List	2007	Thomas
actor	Nicholson, Jack	The Bucket List	2007	Edward
actor	Hernandez, Jonathan	The Bucket List	2007	Manny
actor	O'Brien, John	The Bucket List	2007	Executive #1
actor	Holub, Hugh B.	The Bucket List	2007	County Health Director
actor	Trebek, Alex	The Bucket List	2007	Himself
actor	Vongtama, Roy	The Bucket List	2007	Doctor #1
actor	Berry Jr., Annton	The Bucket List	2007	Kai
actor	Copeland, Brian	The Bucket List	2007	Lee
actor	Dale, Ian Anthony	The Bucket List	2007	Instructor
actor	Stapleton, Christopher	The Bucket List	2007	Kyle
movie	The Call	2013
director	Anderson, Brad	The Call	2013
actress	Nicolacakis, Maria	The Call	2013	Additional Voices
actress	Peck, Ella Rae	The Call	2013	Autumn
actress	Pinol, Jacqueline	The Call	2013	Additional Voices
actress	Platt, Tara	The Call	2013	Female Trainee
actress	Lamia, Jenna	The Call	2013	Brooke
actress	Leavy, Donna Lynn	The Call	2013	Additional Voices
actress	Machado, Justina	The Call	2013	Rachel
actress	Maffia, Roma	The Call	2013	Maddy
actress	Thompson, Evie	The Call	2013	Leah Templeton
actress	Zalduondo, Ruth	The Call	2013	Additional Voices
actress	Gabrielli, Elisa	The Call	2013	Additional Voices
actress	Grady, Lisa	The Call	2013	Forensics Agent
actress	Hensley, Alisa	The Call	2013	Soccer Mom
actress	Jelks-Kirkley, Teresa	The Call	2013	Operator #1
actress	Abergel, Rakefet	The Call	2013	Trainee #1
actress	Arroyo, Yolanda	The Call	2013	Operator #2
actress	Bailey, Kimberly	The Call	2013	Additional Voices
actress	Berry, Halle	The Call	2013	Jordan Turner
actress	Breslin, Abigail	The Call	2013	Casey Welson
actress	Connolly, Patty	The Call	2013	Additional Voices
actress	Davis, Vicki	The Call	2013	Additional Voices
actress	Dowse, Denise	The Call	2013	Flora
actor	Linstroth, Michael	The Call	2013	Officer #1
actor	Mathews, Terence	The Call	2013	Additional Voices
actor	Michie, David	The Call	2013	Additional Voices
actor	Mulcahy, Frankie Louis	The Call	2013	Operator in Quiet Room
actor	Nichols, Jonathan	The Call	2013	Additional Voices
actor	Otunga, David	The Call	2013	Officer Jake Devans
actor	Potter, Jay	The Call	2013	Bryan
actor	Ralph, Michael	The Call	2013	Additional Voices
actor	Sussman, Mark	The Call	2013	Additional Voices
actor	Williams, Steven	The Call	2013	Terrence
actor	Z��iga, Jos�	The Call	2013	Marco
actor	Rosales Jr., Thomas	The Call	2013	Jose
actor	Eklund, Michael	The Call	2013	Michael Foster
actor	Frierson, Eddie	The Call	2013	Additional Voices
actor	Gallo, Ross	The Call	2013	Josh
actor	Baily, Kirk	The Call	2013	Additional Voices
actor	Guest, Nicholas	The Call	2013	Additional Voices
actor	Imperioli, Michael	The Call	2013	Alan Denado
actor	Busby, Sammy	The Call	2013	Officer
actor	Chestnut, Morris	The Call	2013	Officer Paul Phillips
actor	Clark, Michael James	The Call	2013	Additional Voices
movie	The Color Purple	1985
director	Spielberg, Steven	The Color Purple	1985
actress	Murray, Carrie	The Color Purple	1985	Loretta
actress	Myers, April	The Color Purple	1985	Emma
actress	Oliver, Daphaine	The Color Purple	1985	Young Olivia
actress	Poe, Juliet	The Color Purple	1985	Church Sister
actress	Latharp, Lechanda	The Color Purple	1985	Child #2
actress	Masamba, Lelo	The Color Purple	1985	Olivia
actress	Taylor, Ethel	The Color Purple	1985	Church Sister
actress	Winfrey, Oprah	The Color Purple	1985	Sofia
actress	Schockley, Aniijia Rae	The Color Purple	1985	African Musician
actress	Simon, Katie	The Color Purple	1985	Church Sister
actress	Freeman, Margaret	The Color Purple	1985	Odessa
actress	Goldberg, Whoopi	The Color Purple	1985	Celie Johnson
actress	Ivey, Dana	The Color Purple	1985	Miss Millie
actress	Jackson, Desreta	The Color Purple	1985	Young Celie Harris
actress	Asiedu, Nana Yaw	The Color Purple	1985	African Musician
actress	Avery, Margaret	The Color Purple	1985	Shug Avery
actress	Beaubian, Susan	The Color Purple	1985	Corrine
actress	Buie, Donna	The Color Purple	1985	Daisy
actress	Busia, Akosua	The Color Purple	1985	Nettie Harris
actress	Chong, Rae Dawn	The Color Purple	1985	Squeak
actress	Distefano, Lillian Njoki	The Color Purple	1985	Young Tashi
actor	Kwashi, Jeffrey	The Color Purple	1985	African Musician
actor	Liles, Marcus	The Color Purple	1985	Boo
actor	Martin, Bayo	The Color Purple	1985	African Musician
actor	Moore, Maurice	The Color Purple	1985	Child #1
actor	Munzhi, Pete	The Color Purple	1985	African Musician
actor	Patton Jr., John	The Color Purple	1985	Preacher
actor	Phillinganes, Greg	The Color Purple	1985	Jook Joint Musician
actor	Poindexter, Jeris	The Color Purple	1985	Jook Joint Patron
actor	Pugh, Willard E.	The Color Purple	1985	Harpo Johnson
actor	Strong, Phillip	The Color Purple	1985	Mayor
actor	Terry, Sonny	The Color Purple	1985	Jook Joint Musician
actor	Thomas, David	The Color Purple	1985	Road Gang Leader
actor	Tillis, James	The Color Purple	1985	Buster
actor	Turner, Arnold F.	The Color Purple	1985	Jook Joint Patron
actor	Rippy, Leon	The Color Purple	1985	Store Clerk
actor	Starr, Howard	The Color Purple	1985	Young Harpo
actor	Fishburne, Laurence	The Color Purple	1985	Swain
actor	Gaines, Roy	The Color Purple	1985	Jook Joint Musician
actor	Glover, Danny	The Color Purple	1985	Albert
actor	Guillory, Bennet	The Color Purple	1985	Grady
actor	Hart, John R.	The Color Purple	1985	Mailman
actor	Jackson, Leonard	The Color Purple	1985	Pa Harris
actor	James, Hawthorne	The Color Purple	1985	Jook Joint Patron
actor	Johnson, Jadili	The Color Purple	1985	Young Adam
actor	Kinsaka, Peto	The Color Purple	1985	Adam
actor	Anderson, Carl	The Color Purple	1985	Reverend Samuel
actor	Avant, Clarence	The Color Purple	1985	African Musician
actor	Brown, Drew Bundini	The Color Purple	1985	Jook Joint Patron
actor	Caesar, Adolph	The Color Purple	1985	Old Mister Johnson
actor	Chancler, Ndugu	The Color Purple	1985	African Musician
actor	Covington, Marcus	The Color Purple	1985	Boy
actor	Da Costa, Paulinho	The Color Purple	1985	African Musician
movie	The Contract	2006
director	Beresford, Bruce	The Contract	2006
actress	Monroe, Mircea	The Contract	2006	Park Reporter
actress	Newell, Michelle	The Contract	2006	Real Estate Lady
actress	Saltsgiver, Lindsay	The Contract	2006	Nurse-ER
actress	Flynn, Dana	The Contract	2006	Reporter
actress	Krige, Alice	The Contract	2006	Miles
actress	Blush, Margarita	The Contract	2006	Nurse
actress	Dodds, Megan	The Contract	2006	Sandra
actor	Lockyer, Thomas	The Contract	2006	Johnson
actor	McCluskey, Ryan	The Contract	2006	Lochlan
actor	McCoy, Michael	The Contract	2006	Accident Spotter
actor	Meyers, Eric	The Contract	2006	Truck Driver
actor	Rank, Jeffrey	The Contract	2006	Trooper
actor	Talkington, Jonas	The Contract	2006	Paramedic
actor	Tapley, William	The Contract	2006	Jennings
actor	Taylor, Owen	The Contract	2006	Mark
actor	Vegov, Julian	The Contract	2006	Helicopter Trooper #2
actor	Warren, Anthony	The Contract	2006	Royko
actor	Weldon, Les	The Contract	2006	Anchor
actor	Whelan, Gary	The Contract	2006	Stanfield
